marka;model;rok_prod;paliwo;przebieg;pojemnosc;skr_bie;kolor;stan;cena;kraj;link
Volkswagen;Golf;2018;Benzyna ;33171;1800;Automatyczna;Czarny;U¿ywane;106957;USA;https://www.cars.com/vehicledetail/46970592-2516-4ba4-ab88-b68b582bafa9/?results_page_number=2&search_instance_id=68fde899-1fd1-4071-96e3-a5076c6aead5&search_zipcode=&vertical_position=5&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2017;Benzyna ;23785;1800;Automatyczna;Szary;U¿ywane;98397;USA;https://www.cars.com/vehicledetail/d3fcdbe0-5757-4c85-9def-c80b46d970c1/?results_page_number=3&search_instance_id=269ccbc2-8fd8-416f-92a6-3af9f18fd985&search_zipcode=&vertical_position=11&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2016;Benzyna ;97197;1800;Automatyczna;Czarny;U¿ywane;76988;USA;https://www.cars.com/vehicledetail/b559c91d-7c25-490d-9f71-1cbf0c38a934/?results_page_number=4&search_instance_id=eb039f73-f3df-4502-87ad-ab815fa4476f&search_zipcode=&vertical_position=16&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2018;Benzyna ;24271;1800;Automatyczna;Czerwony;U¿ywane;85578;USA;https://www.cars.com/vehicledetail/abac534c-1e27-4293-8fbf-4e87c95ec882/?results_page_number=6&search_instance_id=f9dfe250-d88d-418a-98fa-8084918ff971&search_zipcode=&vertical_position=3&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2015;Benzyna ;121181;1800;Automatyczna;Czarny;U¿ywane;77031;USA;https://www.cars.com/vehicledetail/248ebaf8-4129-41e5-8bca-8987bdd609ac/?results_page_number=7&search_instance_id=1b36bb73-73cf-458d-92d9-a68ea0892da7&search_zipcode=&vertical_position=8&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2019;Benzyna ;86562;1400;Automatyczna;Bia³y;U¿ywane;80006;USA;https://www.cars.com/vehicledetail/11a82f2f-62c4-46a9-b90e-c81cbcb3bc3b/?results_page_number=8&search_instance_id=0a8e7d86-6ea5-4456-8cb6-3b5711f8cdf0&search_zipcode=&vertical_position=15&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2020;Benzyna ;43270;1400;Automatyczna;Bia³y;U¿ywane;106032;USA;https://www.cars.com/vehicledetail/814c6605-18ff-4e1f-a56b-6da788fda125/?results_page_number=9&search_instance_id=07e54d5b-ee6a-489d-bc0c-cdbdc9a43575&search_zipcode=&vertical_position=20&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2021;Benzyna ;11949;1400;Automatyczna;Szary;U¿ywane;111237;USA;https://www.cars.com/vehicledetail/66a2a7ac-dc6d-447d-97e3-5f9cbd80b6a0/?results_page_number=11&search_instance_id=f5ecc797-2f52-46d4-8dd6-549a1d9b01ac&search_zipcode=&vertical_position=8&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2017;Benzyna ;39606;1800;Automatyczna;Czarny;U¿ywane;81281;USA;https://www.cars.com/vehicledetail/65ba373d-5ec8-4a13-ba0e-5c5370844b3f/?results_page_number=12&search_instance_id=5b4a14a0-f841-4562-a6da-400dba1c663d&search_zipcode=&vertical_position=17&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2016;Benzyna ;121447;1800;Automatyczna;Srebrny;U¿ywane;71005;USA;https://www.cars.com/vehicledetail/ebfd4417-0f73-4981-a439-1d77b2e2a3e8/?results_page_number=14&search_instance_id=531f38d4-1ea3-44cb-8480-689335be2361&search_zipcode=&vertical_position=4&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2012;Benzyna ;114220;2500;Automatyczna;Srebrny;U¿ywane;68471;USA;https://www.cars.com/vehicledetail/29b39533-596d-4e9e-b6c9-51c881e7352b/?results_page_number=15&search_instance_id=caf50814-f816-4101-b65b-8b04de3bc890&search_zipcode=&vertical_position=11&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2015;Diesel ;102319;2000;Automatyczna;Czerwony;U¿ywane;79287;USA;https://www.cars.com/vehicledetail/fe9a3309-949d-469d-afc7-34fa2a67d3af/?results_page_number=16&search_instance_id=e3f6d44d-bca4-45a2-be6e-ce94b304062c&search_zipcode=&vertical_position=18&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2018;Benzyna ;37230;1800;Manualna;Bia³y;U¿ywane;85420;USA;https://www.cars.com/vehicledetail/6b24c74f-5c7c-423c-b3d0-b056ff1aee66/?results_page_number=18&search_instance_id=50c55572-838d-4c39-93e4-1c07fa64cf3a&search_zipcode=&vertical_position=5&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2019;Benzyna ;23361;1400;Manualna;Bia³y;U¿ywane;62025;USA;https://www.cars.com/vehicledetail/6b65f78c-dca2-450f-8876-94058ca70e34/?results_page_number=19&search_instance_id=62a7db89-1aa1-414c-8524-2d67f7f4c6a2&search_zipcode=&vertical_position=13&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2016;Benzyna ;93849;1800;Automatyczna;Bia³y;U¿ywane;79697;USA;https://www.cars.com/vehicledetail/639aa91d-1aad-4629-b08e-296b0be3a1ad/?results_page_number=20&search_instance_id=91893aad-cc58-4db5-9381-f671da28e467&search_zipcode=&vertical_position=20&web_page_type=shopping%2Fsearch-results
Volkswagen;Golf;2012;Benzyna;165000;1984;Automatyczna;Bia³y;U¿ywane;70265;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-gti-2-0-tsi-dsg-gasolina-blanco-d3a262ef-caa4-4552-b6bf-3c941a863760?source=list_searchresults
Volkswagen;Golf;2017;Diesel;73161;1598;Automatyczna;Czarny;U¿ywane;88830;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-1-6tdi-advance-dsg7-85kw-diesel-negro-f014e77c-3955-43be-b0ab-237bb97630d6?source=list_searchresults
Volkswagen;Golf;2021;Diesel;5748;;Manualna;Niebieski;U¿ywane;119380;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-2-0-tdi-85kw-life-115-5p-diesel-azul-d6d78f29-589b-4401-8859-d94838b5bda0?source=list_searchresults
Volkswagen;Golf;2007;Benzyna;156731;1984;Manualna;Bia³y;U¿ywane;51183;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-gti-2-0-tfsi-gasolina-blanco-0d8ddc2b-a9fe-4919-84a7-3d9163516dcb?source=list_searchresults
Volkswagen;Golf;2018;Elektryczny;66155;;Automatyczna;Bia³y;U¿ywane;99593;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-e-golf-epower-electrico-blanco-6571b75b-6ec8-4d22-840f-b60d12ec191c?source=list_searchresults
Volkswagen;Golf;2019;Benzyna;81800;1984;Automatyczna;Szary;U¿ywane;159330;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-2-0-tsi-310cv-4m-dsg-r-unlimited-gasolina-gris-a2df1b12-35b5-4fcd-be05-e80583528f56?source=list_searchresults
Volkswagen;Golf;1997;Benzyna;137000;1598;Automatyczna;Niebieski;U¿ywane;9353;Hiszpania;https://www.autoscout24.es/anuncios/volkswagen-golf-1-6-match-aut-gasolina-azul-dd3dca17-77f3-48cb-a2be-d27010ee5176?source=list_searchresults
